record_id,o_name,o_street,o_city,o_state,o_zip,s_name,s_street,s_city,s_state,s_zip,type
d-00001,Patricia Thompson,11978 View,Oakland,MD,21550,Elizabeth Alvarez,18050 Fourth,Odessa,TX,79760,distinct
d-00002,David Taylor,8971 Maple,Waterbury,CT,06722,William Davis,18930 Evergreen,Prattville,AL,36068,distinct
d-00003,Joseph Cruz,7430 Main,Scotland,CT,06264,Susan Kelly,8739 First,Kenilworth,IL,60043,distinct
d-00004,Charles Flores,13143 Ninth,Hereford,TX,79045,Elizabeth Diaz,11028 View,El Paso,TX,79952,distinct
d-00005,Mary Brown,7513 Ninth,Shermans Dale,PA,17090,Patricia Parker,9728 Hill,Gordon,WI,54838,distinct
d-00006,Joseph Cox,7405 Elm,Plymouth,CT,06782,Robert Walker,34 Cedar,Troy,TN,38260,distinct
d-00007,Charles Williams,3026 Washington,Rosalia,KS,67132,Sarah Rodriguez,8711 Pine,Whitney,TX,76692,distinct
d-00008,Richard Cooper,14048 Hill,Tallahassee,FL,32309,David Johnson,12692 Evergreen,Snook,TX,77878,distinct
d-00009,Robert Gonzales,14305 Cedar,Village Mills,TX,77663,Charles Ramos,16768 View,Rosamond,IL,62083,distinct
d-00010,Patricia Watson,6970 Eighth,Columbia,AL,36319,James Mitchell,9993 Third,Washington Grove,MD,20880,distinct
d-00011,James Peterson,9118 Sixth,Omaha,NE,68106,Michael Ward,18362 Cedar,Clarks Hill,IN,47930,distinct
d-00012,Jessica Taylor,7056 Fourth,Ingram,TX,78025,Jennifer Young,14691 Cedar,Fort Smith,AR,72903,distinct
d-00013,Jennifer Williams,9026 Pine,Sutton,NE,68979,William Morales,12409 Cedar,Oxnard,CA,93030,distinct
d-00014,David Peterson,8349 Third,Pittstown,NJ,08867,Mary Hernandez,1959 Main,Natick,MA,01760,distinct
d-00015,Patricia Flores,13500 Eighth,Bantry,ND,58713,Robert Harris,11623 Eighth,South Bend,IN,46628,distinct
d-00016,Joseph Moore,4182 Ninth,Decatur,AL,35699,Mary Cruz,7793 Fifth,Canterbury,CT,06331,distinct
d-00017,Patricia Stewart,3747 Seventh,Moody,AL,35004,Karen Parker,6160 Hill,Lutz,FL,33548,distinct
d-00018,Mary Jones,390 Eighth,Norway,IA,52318,Thomas Harris,9643 Third,Kennebec,SD,57544,distinct
d-00019,Susan Martinez,925 Park,Nebo,KY,42441,William Smith,18641 Second,Wahkon,MN,56386,distinct
d-00020,Barbara Baker,3843 Sixth,San Juan,TX,78589,John Myers,4533 Second,Hunlock Creek,PA,18621,distinct
d-00021,Elizabeth Bennet,6180 Maple,Deer Park,TX,77536,Jessica Sanchez,11436 Eighth,Carrollton,AL,35447,distinct
d-00022,John Mitchell,18702 Fourth,Floweree,MT,59440,Jessica Flores,6242 Maple,Dows,IA,50071,distinct
d-00023,Mary Hernandez,10490 Eighth,Tucson,AZ,85750,Jessica Peterson,18749 Ninth,Farmington,AR,72730,distinct
d-00024,David Sanders,16818 View,Athens,TX,75752,William Sanchez,2431 Fifth,Kennebec,SD,57544,distinct
d-00025,Linda Wilson,10832 Eighth,Seneca,SC,29678,Thomas Adams,12811 Seventh,Farwell,MI,48622,distinct
d-00026,Mary Gomez,10239 Oak,Glenbeulah,WI,53023,Jennifer Bennet,18760 Sixth,Lyndon,KS,66451,distinct
d-00027,William Stewart,19214 Lake,Highland,CA,92346,Susan Alvarez,17913 Elm,Shorewood,IL,60404,distinct
d-00028,David Rivera,14714 Hill,Montpelier,VT,05603,Charles Gray,2616 Cedar,Monticello,AR,71655,distinct
d-00029,Jessica Evans,19363 Maple,Abingdon,VA,24212,Thomas Murphy,14785 Seventh,Ransom,IL,60470,distinct
d-00030,Karen Reed,7944 Third,New Castle,DE,19720,James Cruz,17302 Third,Punta Gorda,FL,33955,distinct
d-00031,John Jimenez,3325 Hill,Elba,AL,36323,Jennifer Thomas,11550 Fifth,North Easton,MA,02356,distinct
d-00032,Linda Lopez,13231 Third,New York,NY,10011,Barbara Thomas,5939 Main,Morristown,AZ,85342,distinct
d-00033,Jessica Rodriguez,5650 Fifth,Westminster,CO,80035,Robert Bennet,18355 Ninth,San Jose,CA,95117,distinct
d-00034,Linda Miller,4641 Oak,Moscow,KS,67952,Sarah Ramirez,3861 Washington,Loganville,GA,30052,distinct
d-00035,Thomas Gomez,11682 Second,Anthony,FL,32617,Susan Long,7527 Washington,Middleboro,MA,02349,distinct
d-00036,William Scott,1118 Lake,Pelsor,AR,72856,James Foster,18283 Pine,Sacramento,CA,94289,distinct
d-00037,Joseph Morgan,11583 Lake,Midville,GA,30441,Jennifer Myers,4350 Main,Spruce Head,ME,04859,distinct
d-00038,Elizabeth Taylor,12072 Park,Monteview,ID,83435,Linda Harris,19458 Second,Springfield,MA,01152,distinct
d-00039,Thomas Parker,1961 Second,Sparkill,NY,10976,Sarah Richardson,13367 Main,Milan,MI,48160,distinct
d-00040,Joseph Ortiz,17125 Ninth,Mars Hill,ME,04758,James Miller,15665 First,Trafford,PA,15085,distinct
d-00041,Joseph Gomez,7245 Hill,Erie,PA,16511,William Parker,4080 Evergreen,Cresskill,NJ,07626,distinct
d-00042,Sarah Harris,16119 Maple,Mercer,WI,54547,James Ruiz,18689 Pine,Newry,SC,29665,distinct
d-00043,Charles Foster,12322 Eighth,Saint Albans,NY,11412,Thomas Chavez,17436 Second,Vaiden,MS,39176,distinct
d-00044,Karen Diaz,17258 Second,Hayward,CA,94541,William Ramos,14945 Lake,Christiansted,VI,00822,distinct
d-00045,Barbara Ramirez,14221 Oak,Williamstown,MA,01267,Thomas Turner,17246 Seventh,Gadsden,AL,35903,distinct
d-00046,Mary Kelly,3098 Sixth,War,WV,24892,James Harris,2997 Elm,Somersville,CT,06072,distinct
d-00047,Thomas Castillo,2656 View,Mason,TX,76856,Sarah Anderson,7719 Fifth,Pine Prairie,LA,70576,distinct
d-00048,William Castillo,6425 Fifth,Blountsville,AL,35031,David Adams,17375 Fifth,Eckerman,MI,49728,distinct
d-00049,John Harris,2251 Pine,Minneapolis,MN,55448,Linda Alvarez,12926 Cedar,Rancho Cordova,CA,95670,distinct
